LEI,Entity.LegalName,Entity.LegalJurisdiction,Entity.LegalForm,Entity.LegalAddress,Entity.EntityStatus,Registration.InitialRegistrationDate
BG0069T8XXOKEIFO885J,HARBOUR TEXTILES IBC,BZ,IBC,"Withfield Tower, Third Floor, 4792 Coney Drive, Belize City",ACTIVE,2012-02-06
BG0070BCCPALRRZSTGL0,DRACO TRADING INTERNATIONAL B.V.,BZ,B.V.,"WITHFIELD TOWER,THIRD FLOOR,4792 CONEY DRIVE,BELIZE CITY",ACTIVE,2010-05-14
BG0073UYT4NUXQH6YUYG,Atlantic Property International Exempted Company,MT,Exempted Company,Level 3,ACTIVE,2012-03-09
BG00740ESMPA2Y0ZPRGI,Northern Industries Corporation Exempted Company,CH,Exempted Company,"Bahnhofstrasse 45, 8001 Zurich",ACTIVE,2007-12-24
BG00778ODJ19AS9QIB2S,Draco Maritime Global DMCC Ltd,CH,DMCC,"BAHNHOFSTRASSE 45,8001 ZURICH",ACTIVE,2009-01-23
BG00809UDT0CHPAA4531,Anchor Property Global SA,IT,Sociedad Anonima,"VIA MONTE NAPOLEONE 8,20121 MILANO",ACTIVE,2006-07-05
BG0082W4N1Y8BIXEAVNI,Beacoon Petroleum International PLC,AE,Public Limited Company,"Unit 1802, Jumeirah Business Centre 3, Cluster Y, JLT, Dubai",ACTIVE,2006-02-25
BG0084IODSB1CQQN1PW1,Atlanntic Holdings Corporation PLC,BZ,Public Limited Company,"Withfield Tower, Third Floor, 4792 Coney Drive, Belize City",ACTIVE,2015-11-04
BG0086VH9AVA4NA0ZP71,Atlantic Capital Crporation FZE,KY,FZE,"190 Elgin Avenue, George Town, Grand Cayman KY1-9008",ACTIVE,2020-10-25
BG00873L2ZHFXKNUACDM,Emerald Logistics Global Ltd,BZ,IBC,"Withfield Tower, Third Floor, 4792 Coney Drive, Belize City",ACTIVE,2013-11-08
BG0088GNCQH5IZNGMSRF,Harbour Industries Global DMCC Ltd,GB,DMCC,"1 Canada Square, Canary Wharf, London E14 5AB",ACTIVE,2013-04-08
BG0090MMFU8BP8PWJPGX,Summit Maritime Group Besloten Vennootschap,CH,B.V.,"Bahnhofstrasse 45, 8001 Zurich",ACTIVE,2016-06-25
BG00911BRCCFMKOXW5DT,Regent Consulting Limited,PA,Limited,"TORRE GLOBAL BANK,CALLE 50,CIUDAD DE PANAMA",ACTIVE,2019-11-27
BG0097Z2LU9I2CXKCMVQ,Regent Partners Enterprises P.L.C.,VG,Public Limited Company,"Craigmuir Chambers, PO Box 71, Road Town, Tortola VG1110",ACTIVE,2012-12-03
BG0098SYN1M0114Z9OQM,IMPERIAL INDUSRIES INTERNATIONAL LIMITED,CH,Exempted Company,"Bahnhofstrasse 45, 8001 Zurich",ACTIVE,2011-01-13
BG0099819VN4RHHGI4JO,Atlantic Textiles  Corporation S.A.,PA,Sociedad Anonima,Torre Global Bank,ACTIVE,2010-11-14
BG0102EDVCZ8OEN8BFD5,Emerald Textiles Enerprises (Services) Free Zone Establishment,SC,FZE,"Suite 1, Second Floor, Sound & Vision House, Francis Rachel Street, Victoria, Mahe",ACTIVE,2005-08-20
BG0103M54R79K157IZAL,REGENT VENTURES ENTERPRISES LIMITED,MT,Exempted Company,"LEVEL 3,VALLETTA BUILDINGS,SOUTH STREET,VALLETTA VLT 1103",ACTIVE,2012-04-01
BG01049UTMCKMKWOVUMF,Everest Ventures Group Aktiengesellschaft,BZ,AG,"Withfield Tower, Third Floor, 4792 Coney Drive, Belize City",ACTIVE,2016-10-09
BG010586QIS0F3P8UR1J,Cobalt Maritime International Sociedad Anonima,IT,Sociedad Anonima,"Via Monte Napoleone 8, 20121 Milano",ACTIVE,2008-06-21
BG0106AIURO7OICOW99C,Ivory Holdings Group Public Limited Company,CY,Public Limited Company,"Themistokli Dervi 3, Julia House, 1066 Nicosia",ACTIVE,2016-07-20
BG0109FFPLTCL65RWPN4,Regent Holdings SA,NL,Sociedad Anonima,"ZUIDPLEIN 126,1077 XV AMSTERDAM",ACTIVE,2010-01-17
BG011383V6I3MR4EEPDX,Harbou Resources Enterprises Sociedad Anonima,GB,Sociedad Anonima,"1 CANADA SQUARE,CANARY WHARF,LONDON E14 5AB",ACTIVE,2018-09-19
BG01181MLE50SRSTGI2A,Northern Capital Global Limited,PA,IBC,"Torre Global Bank, Calle 50, Ciudad de Panama",ACTIVE,2018-07-13
BG0120Z6S6I7GZEWRD0X,Falcon Property International Public Limited Company,GB,Public Limited Company,"Beaufort House, 15 St Botolph Street, London EC3A 7BB",ACTIVE,2010-04-15
BG0122DJ0WZAO9EAOPE0,Harbour Investments Group  O.O.O.,BZ,OOO,"WITHFIELD TOWER,THIRD FLOOR,4792 CONEY DRIVE,BELIZE CITY",ACTIVE,2018-05-07
BG01237CW3MB5UW0LZWN,Cypress RResources International Besloten Vennootschap,CY,B.V.,ARCH. MAKARIOU III 199,ACTIVE,2019-04-10
BG0126EJVMNNRIHF153X,Beacon Texties Free Zone Establishment,AE,FZE,"UNIT 1802,JUMEIRAH BUSINESS CENTRE 3,CLUSTER Y,JLT,DUBAI",ACTIVE,2005-08-14
BG0127AIYDBWTEDWVWUS,Everest Textiles Global LTD.,IT,Limited,"Via Monte Napoleone 8, 20121 Milano",ACTIVE,2016-12-23
BG0128RRA55PMAEVEPD1,Cypress Holdings Group P.L.C.,MT,Public Limited Company,"Level 3, Valletta Buildings, South Street, Valletta VLT 1103",ACTIVE,2007-06-11
BG0131853REVO54FODG7,Granite Partner Enterprises S.A.,SC,Sociedad Anonima,"SUITE 1,SECOND FLOOR,SOUND & VISION HOUSE,FRANCIS RACHEL STREET,VICTORIA,MAHE",ACTIVE,2019-06-07
BG0133SYKY3U0M6BAZCN,Foxglove Agri Group Exempted Company,PA,Exempted Company,"Torre Global Bank, Calle 50, Ciudad de Panama",ACTIVE,2010-07-26
BG0134BRA7BK0E6OL99W,Halcyon Industries Enterprises Public Limited Company,SC,Public Limited Company,"Suite 1, Second Floor, Sound & Vision House, Francis Rachel Street, Victoria, Mahe",ACTIVE,2020-07-17
BG0136LOBZI3LYRERKUT,Summit Capital Enterprises AG,CH,AG,Bahnhofstrasse 45,ACTIVE,2013-08-26
BG0137DL69B92NFXZ9K9,Cypress Consulting DMCC,IT,DMCC,"Via Monte Napoleone 8, 20121 Milano",ACTIVE,2005-06-05
