node_id,name,node_type,jurisdiction_description,address,sourceID
icij-B0030,GRANITE RESOURCES CORPORATION IBC,entity,PA,"Torre Global Bank, Calle 50, Ciudad de Panama",Offshore Leaks 2016
icij-B0031,Summit Resources Gllobal Limited,entity,BZ,"Withfield Tower, Third Floor, 4792 Coney Drive, Belize City",Offshore Leaks 2016
icij-B0032,Harbour Agri Enterprises Sociedad Anonima,entity,AE,"Unit 1802, Jumeirah Business Centre 3, Cluster Y, JLT, Dubai",Offshore Leaks 2016
icij-B0034,AnchorA gri Limited,entity,PA,TORRE GLOBAL BANK,Offshore Leaks 2016
icij-B0036,Summit Property Enterprises S.A.,entity,KY,"190 Elgin Avenue, George Town, Grand Cayman KY1-9008",Offshore Leaks 2016
icij-B0037,Emerald Agri International S.A.,entity,AE,"Office 3402, Almas Tower, JLT, Dubai",Offshore Leaks 2016
icij-B0038,Anchor Logistics Ltd,entity,AE,"Office 3402, Almas Tower, JLT, Dubai",Offshore Leaks 2016
icij-B0040,Northern Property Corporation Limited,entity,AE,"Unit 1802, Jumeirah Business Centre 3, Cluster Y, JLT, Dubai",Offshore Leaks 2016
icij-B0041,Regent Cappital International Limited,entity,PA,"Torre Global Bank, Calle 50, Ciudad de Panama",Offshore Leaks 2016
icij-B0042,Ivory Holdings SpA,entity,MT,"Level 3, Valletta Buildings, South Street, Valletta VLT 1103",Offshore Leaks 2016
icij-B0043,Halcyon Resources Enterprises Aktiengesellschaft,entity,MT,"Level 3, Valletta Buildings, South Street, Valletta VLT 1103",Offshore Leaks 2016
icij-B0044,Garnet Petroleum Group oSciedad Anonima,entity,AE,"Unit 1802, Jumeirah Business Centre 3, Cluster Y, JLT, Dubai",Offshore Leaks 2016
icij-B0045,BEACON CAPITAL ENTERPRISES LIMITED,entity,KY,"PO Box 309, Ugland House, Grand Cayman KY1-1104",Offshore Leaks 2016
icij-B0047,FOXGLOVE LOGISTICS INTERNATIONAL SPA,entity,KY,"PO Box 309, Ugland House, Grand Cayman KY1-1104",Offshore Leaks 2016
icij-B0048,Emerald Textiles Enterprises S.A.,entity,SC,SUITE 1,Offshore Leaks 2016
icij-B0049,CYPRESS PARTNERS GROUP SOCIEDAD ANONIMA,entity,KY,"190 Elgin Avenue, George Town, Grand Cayman KY1-9008",Offshore Leaks 2016
icij-B0051,Summit Metals Enterprises A.G.,entity,KY,"190 Elgin Avenue, George Town, Grand Cayman KY1-9008",Offshore Leaks 2016
icij-B0052,Ivory Petroleu AG,entity,AE,"Unit 1802, Jumeirah Business Centre 3, Cluster Y, JLT, Dubai",Offshore Leaks 2016
icij-B0053,Granite Metals Global Limited,entity,VG,"Craigmuir Chambers, PO Box 71, Road Town, Tortola VG1110",Offshore Leaks 2016
icij-B0055,Regent Textiles DMCC,entity,PA,"Torre Global Bank, Calle 50, Ciudad de Panama",Offshore Leaks 2016
icij-B0056,Harbour Trading Free Zone Establishment,entity,MT,"Level 3, Valletta Buildings, South Street, Valletta VLT 1103",Offshore Leaks 2016
icij-B0057,Cypress Capital A.G.,entity,AE,Office 3402,Offshore Leaks 2016
icij-B0058,Cypress Property Group A.G.,entity,MT,"Level 3, Valletta Buildings, South Street, Valletta VLT 1103",Offshore Leaks 2016
icij-B0059,Granite Maritime International Aktiengesellschaft,entity,VG,"CRAIGMUIR CHAMBERS,PO BOX 71,ROAD TOWN,TORTOLA VG1110",Offshore Leaks 2016
icij-B0065,Ivory Trading Corporation SpA,entity,CY,"ARCH. MAKARIOU III 199,NEOCLEOUS HOUSE,3030 LIMASSOL",Offshore Leaks 2016
icij-B0066,REGENT VENTURES GROUP PUBLIC LIMITED COMPANY,entity,MT,Level 3,Offshore Leaks 2016
icij-B0067,Draco Petroleum Aktiengesellschaft,entity,KY,"PO BOX 309,UGLAND HOUSE,GRAND CAYMAN KY1-1104",Offshore Leaks 2016
icij-B0068,Draco Industries Enterprises LLC,entity,KY,"PO BOX 309,UGLAND HOUSE,GRAND CAYMAN KY1-1104",Offshore Leaks 2016
icij-B0069,Harbour Textiles IBC,entity,BZ,"Withfield Tower, Third Floor, 4792 Coney Drive, Belize City",Offshore Leaks 2016
icij-B0070,Draco Trading International Besloten Vennootschap,entity,BZ,"Withfield Tower, Third Floor, 4792 Coney Drive, Belize City",Offshore Leaks 2016
icij-B0071,Foxglove Textiles LLC,entity,VG,"Craigmuir Chambers, PO Box 71, Road Town, Tortola VG1110",Offshore Leaks 2016
icij-B0072,Garnet Logistics Corporation DMCC,entity,VG,"CRAIGMUIR CHAMBERS,PO BOX 71,ROAD TOWN,TORTOLA VG1110",Offshore Leaks 2016
icij-B0073,Atlantic Property International Limited,entity,MT,"Level 3, Valletta Buildings, South Street, Valletta VLT 1103",Offshore Leaks 2016
icij-B0075,Crown Agri Group Limited,entity,MT,"Level 3, Valletta Buildings, South Street, Valletta VLT 1103",Offshore Leaks 2016
icij-B0076,Draco Agri Group Exempted Company,entity,AE,"Unit 1802, Jumeirah Business Centre 3, Cluster Y, JLT, Dubai",Offshore Leaks 2016
icij-B0078,FOXGLOVE INDUSTRIES BESLOTEN VENNOOTSCHAP,entity,BZ,"WITHFIELD TOWER,THIRD FLOOR,4792 CONEY DRIVE,BELIZE CITY",Offshore Leaks 2016
icij-B0079,Cypress Maritime DMCC,entity,AE,"Unit 1802, Jumeirah Business Centre 3, Cluster Y, JLT, Dubai",Offshore Leaks 2016
icij-B0081,Ivory Partners Enterprises Limited,entity,BZ,"WITHFIELD TOWER,THIRD FLOOR,4792 CONEY DRIVE,BELIZE CITY",Offshore Leaks 2016
icij-B0082,Beacon Petroleum International P.L.C.,entity,AE,"Unit 1802, Jumeirah Business Centre 3, Cluster Y, JLT, Dubai",Offshore Leaks 2016
icij-B0083,FOXGLOVE PROPERTY FZE,entity,MT,"Level 3, Valletta Buildings, South Street, Valletta VLT 1103",Offshore Leaks 2016
icij-B0084,Atlantic Holdings Corporation PLC,entity,BZ,"WITHFIELD TOWER,THIRD FLOOR,4792 CONEY DRIVE,BELIZE CITY",Offshore Leaks 2016
icij-B0085,Northern Metals Global PLC,entity,AE,"Office 3402, Almas Tower, JLT, Dubai",Offshore Leaks 2016
icij-B0086,ATLANTC CAPITAL CORPORATION FZE,entity,KY,"PO Box 309, Ugland House, Grand Cayman KY1-1104",Offshore Leaks 2016
icij-B0087,Emerald Logistics Global Limited,entity,BZ,"WITHFIELD TOWER,THIRD FLOOR,4792 CONEY DRIVE,BELIZE CITY",Offshore Leaks 2016
icij-B0089,COBALT HOLDINGS ENTERPRISES AG,entity,MT,"LEVEL 3,VALLETTA BUILDINGS,SOUTH STREET,VALLETTA VLT 1103",Offshore Leaks 2016
icij-B0091,Regent Consulting Ltd,entity,PA,"Torre Global Bank, Calle 50, Ciudad de Panama",Offshore Leaks 2016
icij-B0092,IVORY IVESTMENTS GLOBAL O.O.O.,entity,MT,"Level 3, Valletta Buildings, South Street, Valletta VLT 1103",Offshore Leaks 2016
icij-B0093,Northern Resources Corporatiion Free Zone Establishment,entity,PA,"TORRE GLOBAL BANK,CALLE 50,CIUDAD DE PANAMA",Offshore Leaks 2016
icij-B0094,Imperial Agri IBC,entity,BZ,"Withfield Tower, Third Floor, 4792 Coney Drive, Belize City",Offshore Leaks 2016
icij-B0097,Regent Partners Enterprises P.L.C.,entity,VG,"Craigmuir Chambers, PO Box 71, Road Town, Tortola VG1110",Offshore Leaks 2016
icij-B0099,Atlantic Textiles Corporation S.A.,entity,PA,"Torre Global Bank, Calle 50, Ciudad de Panama",Offshore Leaks 2016
icij-B0101,Emerald Partners Enterprises Exempted Company,entity,CY,"THEMISTOKLI DERVI 3,JULIA HOUSE,1066 NICOSIA",Offshore Leaks 2016
icij-B0102,Emeralld Textiles Enterprises (Services) FZE,entity,SC,"SUITE 1,SECOND FLOOR,SOUND & VISION HOUSE,FRANCIS RACHEL STREET,VICTORIA,MAHE",Offshore Leaks 2016
icij-B0103,Regent Ventures Enterprises Limited,entity,MT,"Level 3, Valletta Buildings, South Street, Valletta VLT 1103",Offshore Leaks 2016
icij-B0104,EVEREST VENTURES GROUP A.G.,entity,BZ,"Withfield Tower, Third Floor, 4792 Coney Drive, Belize City",Offshore Leaks 2016
icij-B0106,Ivory Holdings Group Public Limited Company,entity,CY,"ARCH. MAKARIOU III 199,NEOCLEOUS HOUSE,3030 LIMASSOL",Offshore Leaks 2016
icij-B0107,Halcyon Metals Enterprises OOO,entity,PA,"Torre Global Bank, Calle 50, Ciudad de Panama",Offshore Leaks 2016
icij-B0108,Ivory Trading Global BV,entity,KY,"190 Elgin Avenue, George Town, Grand Cayman KY1-9008",Offshore Leaks 2016
icij-B0110,Regent Textiles (Holdings) S.p.A.,entity,BZ,Withfield Tower,Offshore Leaks 2016
icij-B0112,Granite Ventures Global LTD.,entity,AE,"UNIT 1802,JUMEIRAH BUSINESS CENTRE 3,CLUSTER Y,JLT,DUBAI",Offshore Leaks 2016
icij-B0114,Garnet Partnesr FZE,entity,AE,"Office 3402, Almas Tower, JLT, Dubai",Offshore Leaks 2016
icij-B0116,Imperial Logistics International PLC,entity,KY,"PO BOX 309,UGLAND HOUSE,GRAND CAYMAN KY1-1104",Offshore Leaks 2016
icij-B0117,CROWN CONSULTING ENTERPRISES SA,entity,VG,"Craigmuir Chambers, PO Box 71, Road Town, Tortola VG1110",Offshore Leaks 2016
icij-B0118,Northern Capital Global IBC,entity,PA,"Torre Global Bank, Calle 50, Ciudad de Panama",Offshore Leaks 2016
icij-B0119,Cypress Partners DMCC,entity,PA,Torre Global Bank,Offshore Leaks 2016
icij-B0121,Imperial Industries S.A.,entity,CY,"Themistokli Dervi 3, Julia House, 1066 Nicosia",Offshore Leaks 2016
icij-B0122,HARBOUR INVESTMENTS GROUP LLC,entity,BZ,"Withfield Tower, Third Floor, 4792 Coney Drive, Belize City",Offshore Leaks 2016
icij-B0123,CYPRESS RESOURCES INTERNATIONAL BESLOTEN VENNOOTSCHAP,entity,CY,"ARCH. MAKARIOU III 199,NEOCLEOUS HOUSE,3030 LIMASSOL",Offshore Leaks 2016
icij-B0126,Beacon Textiles Free Zone Establishment,entity,AE,"OFFICE 3402,ALMAS TOWER,JLT,DUBAI",Offshore Leaks 2016
icij-B0128,CYPRESS HOLDINGS GROUP PUBLIC LIMITED COMPANY,entity,MT,"LEVEL 3,VALLETTA BUILDINGS,SOUTH STREET,VALLETTA VLT 1103",Offshore Leaks 2016
icij-B0129,FOXGLOVE RESOURCES ENTERPRISES PLC,entity,AE,"Unit 1802, Jumeirah Business Centre 3, Cluster Y, JLT, Dubai",Offshore Leaks 2016
icij-B0130,Cypress Agri Group IBC,entity,MT,"Level 3, Valletta Buildings, South Street, Valletta VLT 1103",Offshore Leaks 2016
icij-B0131,Granite Partners Enterprises S.A.,entity,SC,"Suite 1, Second Floor, Sound & Vision House, Francis Rachel Street, Victoria, Mahe",Offshore Leaks 2016
icij-B0132,Northerrn Industries Global Free Zone Establishment,entity,MT,"Level 3, Valletta Buildings, South Street, Valletta VLT 1103",Offshore Leaks 2016
icij-B0133,Foxglove Agri Group Exempted Company,entity,PA,"Torre Global Bank, Calle 50, Ciudad de Panama",Offshore Leaks 2016
icij-B0134,HALCYON INDUSTRIES ENNTERPRISES P.L.C.,entity,SC,"SUITE 1,SECOND FLOOR,SOUND & VISION HOUSE,FRANCIS RACHEL STREET,VICTORIA,MAHE",Offshore Leaks 2016
icij-B0135,Harbour Petroleum Aktiengesellschaft,entity,AE,"UNIT 1802,JUMEIRAH BUSINESS CENTRE 3,CLUSTER Y,JLT,DUBAI",Offshore Leaks 2016
icij-B0138,HARBOUR METALS CORPORATION DMCC LTD,entity,AE,"Unit 1802, Jumeirah Business Centre 3, Cluster Y, JLT, Dubai",Offshore Leaks 2016
icij-B0139,SUMMIT AGRI INTERNATIONAL BESLOTEN VENNOOTSCHAP,entity,MT,Level 3,Offshore Leaks 2016
icij-C002,Baltic Resource Holdings LTD.,entity,CY,"Themistokli Dervi 3, Julia House, 1066 Nicosia",Offshore Leaks 2016
icij-C003,Arcadia Capital Partners Exempted Company,entity,KY,"PO Box 309, Ugland House, Grand Cayman KY1-1104",Offshore Leaks 2016
icij-C004,Meridian Nominees Limited,entity,VG,"Craigmuir Chambers, PO Box 71, Road Town, Tortola VG1110",Offshore Leaks 2016
icij-C005,VOLGA SHIPPING GROUP LLC,entity,RU,"Nevsky Prospekt 28, Saint Petersburg 191186",Offshore Leaks 2016
icij-C006,Sunrise Commodities FZE,entity,AE,"OFFICE 3402,ALMAS TOWER,JLT,DUBAI",Offshore Leaks 2016
icij-C007,Helvetia Trust Servicess A.G.,entity,CH,"BAHNHOFSTRASSE 45,8001 ZURICH",Offshore Leaks 2016
icij-C008,Delta Marine Logistics Sociedad Anonima,entity,PA,"Torre Global Bank, Calle 50, Ciudad de Panama",Offshore Leaks 2016
icij-C010,Silk Road Ventures Limited,entity,SC,"Suite 1, Second Floor, Sound & Vision House, Francis Rachel Street, Victoria, Mahe",Offshore Leaks 2016
icij-C013,GRANDVIEW PROPERTY FUND LTD.,entity,MT,"Level 3, Valletta Buildings, South Street, Valletta VLT 1103",Offshore Leaks 2016
icij-C015,Kestrel Trading DMCC DMCC,entity,AE,Office 3402,Offshore Leaks 2016
icij-C017,Zenith Capital Management Ltd,entity,KY,"190 Elgin Avenue, George Town, Grand Cayman KY1-9008",Offshore Leaks 2016
icij-C019,Blue Harbour Nominees Ltd,entity,BZ,"Withfield Tower, Third Floor, 4792 Coney Drive, Belize City",Offshore Leaks 2016
icij-P001,Dmitriy Volkov,officer,RU,"ULITSA TVERSKAYA 12,MOSCOW 125009",Panama Papers
icij-P002,Yelena Sokolova,officer,RU,NEVSKY PROSPEKT 28,Panama Papers
icij-P004,Ahmed Al Rashid,officer,AE,Unit 1802,Panama Papers
icij-P005,Lee Wei Chen,officer,CN,"Jing'an District, 1266 Nanjing West Road, Shanghai",Panama Papers
icij-P006,Oksana Petrenko,officer,UA,"Khreshchatyk Street 22, Kyiv 01001",Panama Papers
icij-P008,Sergey Morozov,officer,RU,"Ulitsa Tverskaya 12, Moscow 125009",Panama Papers
icij-P012,Thomas Whitfield,officer,GB,"1 Canada Square, Canary Wharf, London E14 5AB",Panama Papers
